# Fecho de dependencia da composicao que a edge experimental testa hoje.
# Gerado em 13/09/2026. 1 linha por modulo carregado em runtime.
# destino = caminho content-addressed na main, para que blobs distintos do MESMO
# caminho nao se atropelem. Trazer com git, nunca por copia manual:
#   git checkout <commit> -- <caminho_origem> && mkdir -p <dir destino> && git mv ...
# ou:  git cat-file -p <commit>:<caminho_origem> > <destino>

commit_origem	blob_sha	bytes	estado_na_main	caminho_origem	destino_na_main
e010ed764df8584de2e572dd8987b9db15a10d81	40002c32f4be2559c77abc32d54c283511e132df	8430	JA_NA_MAIN	patches/joao-uv-operation-idempotency-20260912/uv-operation-idempotency-preload-v1.ts	patches/joao-uv-operation-idempotency-20260912/uv-operation-idempotency-preload-v1.ts
e161b3467019a98979cd2762382d506f50bf3105	d88782f8ec0b197a27a5aa4f4dadcc52ee08b502	6725	JA_NA_MAIN	patches/joao-skill-orchestrator-20260909/orchestrator-preload-v1.5.ts	patches/joao-skill-orchestrator-20260909/orchestrator-preload-v1.5.ts
e713a01b0f252dad40113d472b4b6a4046d58b49	3b7e27210ec57bebd9db3f4b664308c9b6ed7785	12970	JA_NA_MAIN	patches/joao-capability-guard-20260909/capability-guard-preload-v1.1.ts	patches/joao-capability-guard-20260909/capability-guard-preload-v1.1.ts
f23bc4fb3ae5c380362bcdddafe8e52bc84b7611	4c77df245279ec4d438fdf1156a8570f2e4f603c	8135	JA_NA_MAIN	patches/joao-product-service-disambiguation-20260910/product-service-disambiguation-preload-v3-textile-intent.ts	patches/joao-product-service-disambiguation-20260910/product-service-disambiguation-preload-v3-textile-intent.ts
f4cde198f9a7876145abd21976e279161f9d6869	3b77cef0e30467d78c734754969ee885b885b5a8	7974	FALTA	patches/joao-harness-prompt-skills-v11/composicao-baseline-v1.ts	patches/_vendor/f4cde19/patches/joao-harness-prompt-skills-v11/composicao-baseline-v1.ts
f4cde198f9a7876145abd21976e279161f9d6869	8ce6bf98a6c81a6bc3290f5c735b070b3a449088	3042	FALTA	patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts	patches/_vendor/f4cde19/patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts
f4cde198f9a7876145abd21976e279161f9d6869	c2036d46ac5e73ff80d92ea8ca4a3ee652c190a3	10034	FALTA	patches/joao-harness-prompt-skills-v11/skill-quote-table-v2.ts	patches/_vendor/f4cde19/patches/joao-harness-prompt-skills-v11/skill-quote-table-v2.ts
fe7c9b03772df2ed9dadf7ffde559a49cb617ce5	7717bd590336fa21a97a85c73ca9481475732bcb	11622	JA_NA_MAIN	patches/joao-artwork-context-20260909/artwork-current-turn-preload-v1.1.ts	patches/joao-artwork-context-20260909/artwork-current-turn-preload-v1.1.ts

# total de modulos: 49 | ja na main: 33 | a trazer: 16 (475325 bytes)
